牌号,GX40NiCrSiNb 38-19
欧标钢号,1.4849
对应标准,EN 10295-2002 耐热钢铸件
归类,铸钢
性能,耐腐蚀
标签,奥氏体型
说明,用于600℃以上的一般用途(非压力应用)。在清洁的自然空气中抗氧化的工作温度最高可达1020℃。在其他大气中，这个温度可能相差很大。
牌号,ZG15Cr13Ni1
对应标准,GB /T 6967-2009 工程结构用中、高强度不锈钢铸件
归类,铸钢
牌号,ZG08Cr19Ni9
对应标准,JB /T 6405-2018 大型不锈钢铸件 技术条件
归类,铸钢
牌号,ZG30Mn
对应标准,JB /T 6402-2018 大型低合金钢铸件 技术条件
归类,铸钢
牌号,AS75
旧牌号,ZU75CrMo
对应标准,GB /T 1503-2008 铸钢轧辊
归类,铸钢
标签,合金钢
牌号,ZNiCr50Nb1C0.1
对应标准,GB /T 8492-2014 一般用途耐热钢和合金铸件
归类,铸钢
牌号,ZG16Cr9Mo
对应标准,GB /T 16253-2019 承压钢铸件
归类,铸钢
牌号,ZG120Mn13Cr
对应标准,JB /T 6404-2017 大型高锰钢铸件 技术条件
归类,铸钢
牌号,ZG025Cr20Ni25Mo7Cu1N
对应标准,GB /T 2100-2017 通用耐蚀钢铸件
归类,铸钢
牌号,ZG06Cr13Ni5Mo
对应标准,GB /T 6967-2009 工程结构用中、高强度不锈钢铸件
归类,铸钢
牌号,ZG20Cr25Ni21
旧牌号,ZG20Cr25Ni20
对应标准,JB /T 6405-2018 大型不锈钢铸件 技术条件
归类,铸钢
牌号,ZG65Mn
对应标准,JB /T 6402-2018 大型低合金钢铸件 技术条件
归类,铸钢
牌号,AD140Ⅰ
旧牌号,ZUB140CrNiMo
对应标准,GB /T 1503-2008 铸钢轧辊
归类,铸钢
标签,半钢
牌号,ZNiCr25Fe20Co15W5Si1C0.46
对应标准,GB /T 8492-2014 一般用途耐热钢和合金铸件
归类,铸钢
牌号,ZG23Cr12MoV
对应标准,GB /T 16253-2019 承压钢铸件
归类,铸钢
牌号,ZG110Mn13Mo2
对应标准,JB /T 6404-2017 大型高锰钢铸件 技术条件
归类,铸钢
牌号,ZG03Cr26Ni6Mo3Cu1N
对应标准,GB /T 2100-2017 通用耐蚀钢铸件
归类,铸钢
牌号,ZG04Cr13Ni5Mo
对应标准,GB /T 6967-2009 工程结构用中、高强度不锈钢铸件
归类,铸钢
牌号,ZG12Cr18Mn9Ni4Mo3Cu2N
旧牌号,ZG12Cr17Mn9Ni4Mo3Cu2N
对应标准,JB /T 6405-2018 大型不锈钢铸件 技术条件
归类,铸钢
牌号,ZG50Mn2
对应标准,JB /T 6402-2018 大型低合金钢铸件 技术条件
归类,铸钢
牌号,AD180
对应标准,GB /T 1503-2008 铸钢轧辊
归类,铸钢
标签,半钢
牌号,ZG110Mn13Mo1
对应标准,GB /T 5680-2010 奥氏体锰钢铸件
归类,铸钢
牌号,ZG06Cr16Ni5Mo
对应标准,GB /T 16253-2019 承压钢铸件
归类,铸钢
牌号,ZG120Mn18Cr2
旧牌号,ZG120Mn17Cr2
对应标准,JB /T 6404-2017 大型高锰钢铸件 技术条件
归类,铸钢
牌号,ZG40Cr13Si2
对应标准,GB /T 8492-2014 一般用途耐热钢和合金铸件
归类,铸钢
牌号,RZG270-500
对应标准,JB /T 5100-1991 熔模铸造碳钢件 技术条件
归类,铸钢
牌号,ZG40Cr13Si2
对应标准,JB /T 6403-2017 大型耐热钢铸件 技术条件
归类,铸钢
牌号,ZG10Cr13Ni2Mo
对应标准,GB /T 2100-2017 通用耐蚀钢铸件
归类,铸钢
牌号,ZG20MnMo
对应标准,JB /T 6402-2018 大型低合金钢铸件 技术条件
归类,铸钢
牌号,GS140
旧牌号,ZUS140SiCrMo
对应标准,GB /T 1503-2008 铸钢轧辊
归类,铸钢
标签,石墨钢
牌号,ZG120Mn13Cr2
对应标准,GB /T 5680-2010 奥氏体锰钢铸件
归类,铸钢
牌号,ZG07Cr19Ni11Nb
对应标准,GB /T 16253-2019 承压钢铸件
归类,铸钢
牌号,ZGMn13-3
对应标准,YB /T 036.4-1992 冶金设备制造通用技术条件——高锰钢铸件
归类,铸钢
说明,适用复杂件
牌号,ZGCr29Si2
